task,ppt,SYNSscene,SYNSView,categorySelected,categoryLabelSelected
Structure,1,62,1,1,Cluttered / \n Pointy   
Structure,1,76,15,1,Cluttered / \n Pointy   
Structure,1,58,5,1,Cluttered / \n Pointy   
Structure,1,30,5,2,Closed Off
Structure,1,17,17,2,Closed Off
Structure,1,17,3,2,Closed Off
Structure,1,77,5,1,Cluttered / \n Pointy   
Structure,1,28,5,3,Flat
Structure,1,33,13,3,Flat
Structure,1,20,15,1,Cluttered / \n Pointy   
Structure,1,58,11,4,Tunnel/ \n Navigable\n Routes 
Structure,1,54,1,3,Flat
Structure,1,39,9,3,Flat
Structure,1,10,1,3,Flat
Structure,1,72,1,1,Cluttered / \n Pointy   
Structure,1,27,17,2,Closed Off
Structure,1,66,13,3,Flat
Structure,1,45,11,1,Cluttered / \n Pointy   
Structure,1,34,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,43,7,2,Closed Off
Structure,1,32,9,3,Flat
Structure,1,37,5,3,Flat
Structure,1,23,11,3,Flat
Structure,1,49,3,3,Flat
Structure,1,66,3,3,Flat
Structure,1,72,13,1,Cluttered / \n Pointy   
Structure,1,1,13,3,Flat
Structure,1,52,5,3,Flat
Structure,1,47,5,3,Flat
Structure,1,40,1,2,Closed Off
Structure,1,24,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,25,15,4,Tunnel/ \n Navigable\n Routes 
Structure,1,62,17,3,Flat
Structure,1,44,15,1,Cluttered / \n Pointy   
Structure,1,20,13,1,Cluttered / \n Pointy   
Structure,1,73,17,3,Flat
Structure,1,20,11,1,Cluttered / \n Pointy   
Structure,1,58,17,2,Closed Off
Structure,1,74,7,2,Closed Off
Structure,1,12,11,3,Flat
Structure,1,17,13,2,Closed Off
Structure,1,76,7,2,Closed Off
Structure,1,4,3,1,Cluttered / \n Pointy   
Structure,1,27,15,2,Closed Off
Structure,1,39,1,1,Cluttered / \n Pointy   
Structure,1,66,17,3,Flat
Structure,1,34,9,4,Tunnel/ \n Navigable\n Routes 
Structure,1,79,1,2,Closed Off
Structure,1,10,3,3,Flat
Structure,1,62,7,3,Flat
Structure,1,68,7,2,Closed Off
Structure,1,3,13,2,Closed Off
Structure,1,73,15,4,Tunnel/ \n Navigable\n Routes 
Structure,1,74,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,32,5,3,Flat
Structure,1,43,13,1,Cluttered / \n Pointy   
Structure,1,59,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,29,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,59,1,2,Closed Off
Structure,1,40,7,2,Closed Off
Structure,1,41,3,2,Closed Off
Structure,1,42,7,2,Closed Off
Structure,1,57,1,1,Cluttered / \n Pointy   
Structure,1,70,11,2,Closed Off
Structure,1,27,9,1,Cluttered / \n Pointy   
Structure,1,65,11,2,Closed Off
Structure,1,26,17,2,Closed Off
Structure,1,2,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,75,13,3,Flat
Structure,1,26,5,1,Cluttered / \n Pointy   
Structure,1,4,9,1,Cluttered / \n Pointy   
Structure,1,3,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,67,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,70,9,2,Closed Off
Structure,1,25,1,2,Closed Off
Structure,1,20,1,1,Cluttered / \n Pointy   
Structure,1,66,15,3,Flat
Structure,1,39,15,2,Closed Off
Structure,1,3,9,2,Closed Off
Structure,1,37,17,3,Flat
Structure,1,26,15,1,Cluttered / \n Pointy   
Structure,1,48,9,2,Closed Off
Structure,1,33,9,3,Flat
Structure,1,80,17,1,Cluttered / \n Pointy   
Structure,1,80,13,1,Cluttered / \n Pointy   
Structure,1,52,11,3,Flat
Structure,1,8,13,3,Flat
Structure,1,76,11,2,Closed Off
Structure,1,12,7,3,Flat
Structure,1,53,9,3,Flat
Structure,1,72,5,3,Flat
Structure,1,25,9,2,Closed Off
Structure,1,47,17,1,Cluttered / \n Pointy   
Structure,1,32,3,3,Flat
Structure,1,36,9,2,Closed Off
Structure,1,47,11,1,Cluttered / \n Pointy   
Structure,1,41,11,2,Closed Off
Structure,1,26,3,1,Cluttered / \n Pointy   
Structure,1,70,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,52,13,3,Flat
Structure,1,36,15,3,Flat
Structure,1,78,15,1,Cluttered / \n Pointy   
Structure,1,70,3,2,Closed Off
Structure,1,29,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,22,1,1,Cluttered / \n Pointy   
Structure,1,9,3,3,Flat
Structure,1,51,17,3,Flat
Structure,1,23,15,3,Flat
Structure,1,17,1,2,Closed Off
Structure,1,56,7,2,Closed Off
Structure,1,42,3,2,Closed Off
Structure,1,36,5,2,Closed Off
Structure,1,47,13,1,Cluttered / \n Pointy   
Structure,1,15,15,1,Cluttered / \n Pointy   
Structure,1,71,15,3,Flat
Structure,1,50,5,3,Flat
Structure,1,71,1,3,Flat
Structure,1,31,1,2,Closed Off
Structure,1,41,7,2,Closed Off
Structure,1,48,15,2,Closed Off
Structure,1,11,1,2,Closed Off
Structure,1,21,1,2,Closed Off
Structure,1,64,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,64,1,2,Closed Off
Structure,1,6,7,1,Cluttered / \n Pointy   
Structure,1,73,1,3,Flat
Structure,1,15,5,1,Cluttered / \n Pointy   
Structure,1,1,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,76,13,2,Closed Off
Structure,1,11,15,4,Tunnel/ \n Navigable\n Routes 
Structure,1,60,7,4,Tunnel/ \n Navigable\n Routes 
Structure,1,30,11,2,Closed Off
Structure,1,34,17,3,Flat
Structure,1,9,9,3,Flat
Structure,1,35,9,2,Closed Off
Structure,1,79,5,2,Closed Off
Structure,1,19,15,1,Cluttered / \n Pointy   
Structure,1,51,9,3,Flat
Structure,1,26,13,1,Cluttered / \n Pointy   
Structure,1,46,7,1,Cluttered / \n Pointy   
Structure,1,49,9,3,Flat
Structure,1,61,13,1,Cluttered / \n Pointy   
Structure,1,58,15,2,Closed Off
Structure,1,38,13,1,Cluttered / \n Pointy   
Structure,1,46,17,1,Cluttered / \n Pointy   
Structure,1,3,15,2,Closed Off
Structure,1,56,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,80,11,1,Cluttered / \n Pointy   
Structure,1,22,15,1,Cluttered / \n Pointy   
Structure,1,72,3,1,Cluttered / \n Pointy   
Structure,1,13,17,2,Closed Off
Structure,1,23,13,3,Flat
Structure,1,40,5,2,Closed Off
Structure,1,71,5,3,Flat
Structure,1,33,7,3,Flat
Structure,1,6,13,3,Flat
Structure,1,23,1,3,Flat
Structure,1,50,17,3,Flat
Structure,1,9,1,1,Cluttered / \n Pointy   
Structure,1,37,9,3,Flat
Structure,1,3,17,2,Closed Off
Structure,1,7,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,42,5,2,Closed Off
Structure,1,31,7,2,Closed Off
Structure,1,46,3,1,Cluttered / \n Pointy   
Structure,1,75,1,3,Flat
Structure,1,60,13,2,Closed Off
Structure,1,25,5,2,Closed Off
Structure,1,46,1,2,Closed Off
Structure,1,25,13,2,Closed Off
Structure,1,59,11,2,Closed Off
Structure,1,58,13,2,Closed Off
Structure,1,12,15,2,Closed Off
